word,COCA-Acad,ppm,ratio,disp
the,7131341.00,59427.84,1.05,0.96
of,4060103.00,33834.19,1.27,0.96
be,3457266.00,28810.55,0.72,0.96
and,3291949.00,27432.91,0.99,0.96
a,2708902.00,22574.18,0.86,0.96
in,2367953.00,19732.94,1.1,0.96
to,1682820.00,14023.50,0.86,0.96
to,1215360.00,10128.00,1.02,0.96
that,1064576.00,8871.47,1,0.96
for,1014762.00,8456.35,1,0.96
have,978516.00,8154.30,0.64,0.96
with,774756.00,6456.30,0.93,0.96
it,673174.00,5609.78,0.56,0.96
on,659129.00,5492.74,0.85,0.96
by,598731.00,4989.43,1.3,0.96
this,510484.00,4254.03,0.87,0.96
or,508533.00,4237.78,1.2,0.96
from,500702.00,4172.52,0.99,0.95
not,474931.00,3957.76,0.94,0.96
their,408973.00,3408.11,1.22,0.96
as,408637.00,3405.31,1.02,0.96
at,406698.00,3389.15,0.74,0.95
as,373925.00,3116.04,1.46,0.96
they,373105.00,3109.21,0.65,0.96
do,370132.00,3084.43,0.46,0.97
but,343724.00,2864.37,0.62,0.96
he,293238.00,2443.65,0.33,0.96
can,288576.00,2404.80,0.91,0.95
we,286901.00,2390.84,0.51,0.95
which,280188.00,2334.90,1.33,0.96
his,269679.00,2247.33,0.49,0.95
you,260267.00,2168.89,0.27,0.96
that,257814.00,2148.45,0.49,0.96
who,228028.00,1900.23,0.72,0.96
these,227204.00,1893.37,1.44,0.95
its,222386.00,1853.22,1.29,0.94
all,209920.00,1749.33,0.76,0.96
other,200298.00,1669.15,1.19,0.95
will,200030.00,1666.92,0.58,0.94
make,199659.00,1663.83,0.75,0.96
more,199406.00,1661.72,1.24,0.96
would,198571.00,1654.76,0.7,0.95
than,194949.00,1624.58,1.09,0.95
one,193568.00,1613.07,0.82,0.96
also,192668.00,1605.57,1.34,0.96
if,189474.00,1578.95,0.66,0.96
use,184698.00,1539.15,1.42,0.93
time,184374.00,1536.45,0.78,0.96
year,179526.00,1496.05,0.75,0.95
what,178012.00,1483.43,0.49,0.96
say,175929.00,1466.08,0.3,0.94
some,167334.00,1394.45,0.8,0.95
about,164132.00,1367.77,0.6,0.96
into,158983.00,1324.86,0.77,0.95
there,153587.00,1279.89,0.64,0.96
when,148571.00,1238.09,0.71,0.96
new,142281.00,1185.68,1.05,0.94
between,140049.00,1167.08,1.73,0.95
two,139375.00,1161.46,0.88,0.95
our,137807.00,1148.39,0.84,0.94
study,137208.00,1143.40,2.52,0.93
people,136822.00,1140.18,0.64,0.95
them,136782.00,1139.85,0.65,0.96
see,136403.00,1136.69,0.63,0.95
only,132096.00,1100.80,1.13,0.95
take,131217.00,1093.48,0.63,0.96
many,130609.00,1088.41,1.1,0.95
n't,129412.00,1078.43,0.26,0.93
your,123829.00,1031.91,0.6,0.89
first,123671.00,1030.59,0.86,0.95
group,122011.00,1016.76,1.72,0.94
could,120818.00,1006.82,0.63,0.95
how,118439.00,986.99,0.71,0.96
those,118246.00,985.38,1.01,0.96
find,115811.00,965.09,0.95,0.95
so,115655.00,963.79,0.48,0.96
way,110558.00,921.32,0.76,0.96
system,110176.00,918.13,1.79,0.9
more,108977.00,908.14,0.83,0.95
high,108493.00,904.11,1.37,0.94
up,108433.00,903.61,0.44,0.94
no,104093.00,867.44,0.84,0.96
state,103379.00,861.49,0.82,0.92
through,102046.00,850.38,0.96,0.95
world,101918.00,849.32,1.09,0.94
social,99744.00,831.20,2.39,0.9
my,99431.00,828.59,0.35,0.95
because,99129.00,826.08,0.73,0.96
one,98855.00,823.79,0.87,0.95
such,98532.00,821.10,1.56,0.95
should,97897.00,815.81,1.02,0.97
she,96676.00,805.63,0.21,0.96
out,95747.00,797.89,0.45,0.96
then,95413.00,795.11,0.57,0.95
go,94926.00,791.05,0.27,0.96
woman,94406.00,786.72,0.86,0.92
become,94219.00,785.16,1.18,0.96
any,94180.00,784.83,0.88,0.96
life,93968.00,783.07,0.91,0.94
most,93823.00,781.86,1.24,0.96
even,93599.00,779.99,0.84,0.95
her,93431.00,778.59,0.31,0.95
provide,93212.00,776.77,2.01,0.94
get,91256.00,760.47,0.3,0.95
however,90906.00,757.55,2.1,0.95
each,90887.00,757.39,1.5,0.94
give,90650.00,755.42,0.76,0.97
know,89693.00,747.44,0.32,0.96
come,86034.00,716.95,0.44,0.95
while,84915.00,707.63,1.17,0.96
like,84322.00,702.68,0.48,0.95
during,83964.00,699.70,1.43,0.94
research,83325.00,694.38,2.3,0.92
problem,81576.00,679.80,1.22,0.95
as,78918.00,657.65,0.91,0.96
American,78274.00,652.28,1.184098881,0.911907002
level,78162.00,651.35,2.07,0.94
now,77266.00,643.88,0.41,0.95
work,76381.00,636.51,0.77,0.96
just,76056.00,633.80,0.36,0.95
man,75969.00,633.08,0.58,0.94
need,75094.00,625.78,0.86,0.96
over,74745.00,622.88,0.8,0.95
case,74675.00,622.29,1.21,0.95
political,73816.00,615.13,1.66,0.89
number,73345.00,611.21,1.27,0.94
three,73208.00,610.07,0.89,0.95
in,72984.00,608.20,0.83,0.96
own,72925.00,607.71,0.98,0.96
after,72276.00,602.30,0.75,0.96
result,72083.00,600.69,2.05,0.94
show,71852.00,598.77,1.11,0.94
government,71499.00,595.83,1.19,0.89
same,71251.00,593.76,1.04,0.95
work,70763.00,589.69,1.22,0.95
large,70352.00,586.27,1.3,0.92
include,70098.00,584.15,1.69,0.95
such,70078.00,583.98,1.91,0.94
day,69430.00,578.58,0.5,0.96
must,68350.00,569.58,1.31,0.96
among,68274.00,568.95,1.6,0.95
great,68158.00,567.98,0.98,0.95
area,67950.00,566.25,1.33,0.93
country,67617.00,563.48,0.98,0.91
most,67451.00,562.09,1.12,0.95
important,67258.00,560.48,1.51,0.95
family,67188.00,559.90,0.89,0.93
different,66947.00,557.89,1.33,0.95
process,66382.00,553.18,2.01,0.95
power,66059.00,550.49,1.49,0.93
part,65959.00,549.66,1.03,0.95
national,65615.00,546.79,1.28,0.94
use,64527.00,537.73,2.15,0.93
service,64187.00,534.89,1.41,0.94
within,63995.00,533.29,1.86,0.95
development,63509.00,529.24,2.23,0.94
data,63480.00,529.00,2.62,0.9
think,63193.00,526.61,0.26,0.96
often,62905.00,524.21,1.45,0.96
information,61931.00,516.09,1.58,0.93
question,61773.00,514.78,1.04,0.96
very,61194.00,509.95,0.51,0.95
issue,60679.00,505.66,1.25,0.95
another,60499.00,504.16,0.81,0.96
effect,60078.00,500.65,2.04,0.94
call,60044.00,500.37,0.63,0.95
might,59621.00,496.84,0.92,0.96
begin,59606.00,496.72,0.86,0.95
us,59483.00,495.69,0.54,0.93
change,59284.00,494.03,1.69,0.94
table,59158.00,492.98,1.54,0.93
policy,58987.00,491.56,1.77,0.91
help,58902.00,490.85,0.88,0.97
although,57943.00,482.86,1.76,0.95
university,57835.00,481.96,1.62,0.93
both,57485.00,479.04,1.28,0.96
model,57310.00,477.58,2.2,0.92
small,56916.00,474.30,0.99,0.91
experience,56541.00,471.18,1.86,0.94
good,56080.00,467.33,0.51,0.96
me,55993.00,466.61,0.25,0.95
activity,55151.00,459.59,2.28,0.93
human,54672.00,455.60,1.74,0.93
member,54340.00,452.83,1.28,0.95
still,54208.00,451.73,0.59,0.95
him,53767.00,448.06,0.26,0.94
history,53474.00,445.62,1.5,0.93
want,53194.00,443.28,0.33,0.96
without,53064.00,442.20,1.01,0.96
create,53032.00,441.93,1.42,0.95
develop,52543.00,437.86,2.02,0.94
suggest,52412.00,436.77,1.84,0.95
economic,52368.00,436.40,1.89,0.9
seem,52291.00,435.76,0.77,0.95
well,51983.00,433.19,0.41,0.96
low,51858.00,432.15,1.54,0.93
under,51295.00,427.46,1.01,0.94
relationship,50744.00,422.87,1.93,0.93
look,50262.00,418.85,0.33,0.94
much,50156.00,417.97,0.66,0.96
both,49946.00,416.22,1.53,0.95
value,49900.00,415.83,1.97,0.96
public,49784.00,414.87,1.34,0.95
require,49554.00,412.95,1.8,0.94
role,49426.00,411.88,1.81,0.95
against,49347.00,411.23,0.79,0.93
write,49345.00,411.21,0.98,0.95
place,49327.00,411.06,0.79,0.95
far,49223.00,410.19,1.07,0.95
when,49171.00,409.76,0.59,0.96
difference,49081.00,409.01,1.93,0.93
water,48781.00,406.51,0.92,0.86
early,48779.00,406.49,1.46,0.95
analysis,48500.00,404.17,2.85,0.93
few,47987.00,399.89,0.79,0.94
practice,47915.00,399.29,2.06,0.95
fact,47686.00,397.38,0.96,0.96
society,47060.00,392.17,1.89,0.93
several,46873.00,390.61,1.23,0.94
old,46787.00,389.89,0.64,0.95
point,46705.00,389.21,0.84,0.96
thing,46693.00,389.11,0.37,0.95
right,46672.00,388.93,1.05,0.91
too,46326.00,386.05,0.53,0.96
thus,46287.00,385.73,2.69,0.95
ask,46199.00,384.99,0.52,0.97
where,45732.00,381.10,0.69,0.95
control,45690.00,380.75,1.64,0.93
form,45275.00,377.29,1.9,0.95
others,45125.00,376.04,1.26,0.95
consider,44671.00,372.26,1.41,0.96
report,44666.00,372.22,1.64,0.92
about,44540.00,371.17,0.69,0.91
rate,44493.00,370.78,1.65,0.93
lead,44493.00,370.78,1.17,0.95
significant,44415.00,370.13,2.44,0.93
figure,44084.00,367.37,1.92,0.92
